area_sqft,num_bedrooms,num_bathrooms,age_years,distance_to_city_km,school_rating,parking_spaces,owner_lucky_number,wall_paint_color_code,survey_respondent_id,random_noise_feature,price_lakhs
2022.9,2,1,22.82,10.64,4.13,1,36,14,329.3,1.151,96.44
857.0,3,4,1.22,51.24,6.22,0,37,11,578.5,0.553,31.64
1573.9,3,4,37.24,21.64,2.25,2,79,2,451.2,-0.367,57.89
1604.0,3,1,27.58,8.23,5.0,3,92,18,453.1,-0.204,88.23
1812.7,4,4,27.06,4.38,6.64,1,18,7,591.5,1.807,126.37
1005.2,4,1,8.63,8.09,5.4,2,98,12,429.6,-0.351,75.86
971.8,2,1,26.36,12.32,4.62,2,63,2,285.8,1.05,48.03
1708.8,3,1,15.75,1.01,9.94,0,22,18,614.2,0.339,123.42
1618.8,3,2,26.05,4.22,8.92,0,11,6,328.1,-0.334,102.07
1600.2,5,4,4.26,14.65,6.61,2,58,10,577.5,-1.345,105.58
1638.6,4,1,26.31,3.87,6.12,2,57,15,645.9,0.212,100.95
1228.0,3,4,39.98,6.79,6.59,3,77,5,443.7,0.091,73.69
1592.9,2,2,1.93,7.09,2.81,2,4,3,677.4,1.807,110.57
1617.2,2,1,39.09,1.63,4.56,3,86,5,572.3,-0.86,76.02
1214.3,3,3,16.28,3.6,1.36,2,7,8,395.6,2.295,87.61
2246.3,4,2,34.83,3.26,5.28,0,61,8,710.2,0.379,119.05
1689.5,2,3,31.3,0.5,5.89,3,54,8,328.7,0.378,93.2
1023.5,5,4,22.68,0.5,3.05,1,88,12,443.5,-0.593,70.32
1762.6,2,4,29.54,14.26,9.68,0,68,8,469.1,0.315,114.47
1110.1,1,2,35.14,2.55,9.19,3,92,11,590.8,0.473,72.32
1814.8,1,4,16.17,5.84,7.5,3,79,14,667.3,0.937,124.35
1963.4,4,3,13.08,2.84,5.8,1,1,8,657.9,-0.978,116.1
1171.7,3,1,26.7,22.6,8.83,3,55,10,533.6,1.407,85.58
1885.4,4,1,32.31,2.4,2.18,2,3,7,458.0,0.361,106.63
1665.1,4,1,30.49,4.49,8.11,1,78,17,226.1,0.608,100.14
1828.8,4,2,31.91,16.49,2.12,0,38,4,302.9,-0.221,78.49
2258.7,4,4,17.42,14.76,8.15,0,1,13,765.0,-0.928,138.92
1401.8,5,3,32.71,1.65,3.48,2,38,4,224.6,0.073,94.32
1198.5,5,4,4.81,12.98,8.89,0,85,5,382.3,0.187,103.9
1144.2,2,4,21.78,4.9,9.5,3,29,4,671.7,-1.385,91.5
1173.7,1,4,0.23,5.28,2.34,3,5,18,531.5,0.793,92.96
1469.2,4,1,12.98,1.15,5.16,2,74,6,639.2,0.997,91.14
1636.5,2,3,14.66,0.67,9.83,0,92,2,581.4,-0.73,115.48
1610.7,1,3,15.85,10.41,5.35,0,21,11,720.4,-1.023,78.05
1830.9,3,4,27.82,5.49,8.77,2,71,14,544.3,-0.303,121.66
1505.2,5,1,15.54,4.59,6.3,1,67,5,599.5,0.024,100.09
2081.4,1,1,17.95,10.46,4.38,0,47,6,391.4,-0.264,91.47
1394.1,3,3,9.5,11.6,3.57,1,84,10,587.9,-0.061,82.25
2588.1,1,1,14.93,1.38,2.83,0,83,8,440.6,0.221,136.56
1750.3,5,1,9.09,7.54,7.86,0,35,14,432.0,-1.368,119.3
1157.1,5,1,2.93,1.16,4.48,0,68,3,634.2,-1.253,88.36
1071.6,2,2,24.14,11.13,5.6,0,69,12,635.2,-2.722,47.63
1693.0,4,4,26.73,8.56,5.43,3,1,16,753.3,0.943,104.96
1410.6,1,3,24.78,25.1,6.2,1,68,17,743.5,0.015,57.79
1785.6,1,3,18.54,0.57,8.79,1,12,1,637.6,1.048,115.7
1689.3,3,2,15.19,0.5,9.83,0,60,10,241.9,-1.138,120.4
1470.9,5,4,34.53,2.65,4.67,0,27,10,774.2,0.024,95.16
1161.3,1,3,20.76,2.43,8.45,1,56,2,637.7,0.215,91.77
894.1,5,1,19.17,2.27,7.88,3,23,9,385.1,-0.562,85.58
1321.4,1,3,1.03,18.94,6.16,2,25,13,609.3,-1.553,82.95
1842.6,2,1,13.65,2.3,9.6,2,21,16,344.4,1.746,124.98
1585.6,4,2,15.21,2.54,2.8,1,61,18,592.8,1.399,99.09
1001.7,1,1,15.95,11.4,1.98,0,63,19,302.6,-0.382,36.9
1569.3,5,3,23.21,4.78,8.69,0,52,12,378.8,0.51,119.54
1654.1,2,3,21.34,11.99,4.95,3,88,8,606.5,-0.485,100.68
1146.5,1,3,24.32,0.54,8.62,2,25,17,660.9,-0.995,101.31
1561.5,3,2,30.6,5.35,9.04,3,55,15,548.8,1.827,118.75
1523.3,4,2,32.52,0.5,1.56,2,46,10,457.1,-1.655,76.28
1042.8,1,4,28.72,0.52,8.95,1,32,15,182.8,-0.286,76.07
1643.1,2,3,38.22,18.95,5.03,2,55,15,468.6,0.084,90.69
1724.3,3,1,0.73,1.2,5.59,3,96,7,580.0,1.651,125.25
1933.2,2,2,7.83,6.08,6.64,3,5,13,452.5,0.897,127.39
1921.5,2,3,0.3,4.24,9.34,3,36,17,496.6,-1.672,129.64
948.9,3,3,25.9,3.41,1.17,1,49,9,472.2,-0.003,59.66
1124.9,2,2,35.92,18.41,5.29,2,58,8,451.7,0.021,63.72
1706.0,3,4,9.74,0.5,7.19,2,39,18,511.4,-0.228,137.5
1705.5,1,2,37.08,8.72,7.5,3,80,13,459.1,0.62,82.97
1706.0,3,2,2.41,26.46,7.23,2,97,16,716.5,-1.409,97.25
3041.1,3,1,37.38,6.57,2.21,0,85,9,169.0,-0.409,127.9
1728.4,4,1,14.06,22.09,3.69,0,61,12,418.1,0.479,79.55
1954.2,3,4,4.06,0.5,4.23,0,9,12,369.5,0.68,117.43
1881.6,3,3,19.43,4.34,8.24,2,6,6,532.9,0.149,122.97
1760.6,1,2,10.27,2.41,3.51,1,35,19,511.6,-0.288,118.01
1373.9,4,4,11.39,10.5,2.9,1,39,7,743.3,-0.12,93.84
1803.6,5,1,12.29,31.83,9.62,1,22,3,792.7,0.74,110.78
1190.9,1,2,32.12,2.37,1.08,1,41,16,384.0,0.034,65.37
1405.3,1,3,21.57,8.49,9.98,0,5,18,500.1,-1.042,86.72
1305.9,5,1,12.45,1.77,7.09,0,42,16,529.4,-1.233,96.61
1532.7,3,1,24.41,6.67,8.46,3,87,7,380.3,-1.49,93.38
2425.9,2,1,28.65,4.99,3.65,2,81,4,594.3,1.456,107.45
753.1,4,4,10.9,28.61,1.13,2,76,8,464.1,0.807,40.78
1774.5,2,3,16.54,7.5,7.64,1,87,13,339.9,-0.106,88.33
854.9,5,2,4.88,3.44,8.51,0,80,13,458.1,-0.454,96.99
1311.2,1,4,7.25,0.97,7.66,1,67,17,350.3,-0.574,104.88
1935.6,1,4,27.24,1.31,2.29,3,30,17,655.5,1.093,109.15
1525.7,4,4,7.26,2.04,7.78,2,57,5,785.2,1.904,132.51
1068.9,1,1,21.01,2.31,7.92,2,86,6,536.7,-0.605,78.24
1213.9,1,3,28.36,15.21,6.93,1,73,19,516.7,1.138,76.47
1771.8,4,4,4.28,6.59,7.9,3,29,13,522.9,0.028,139.18
1207.9,4,2,22.69,5.93,8.61,2,37,14,677.3,-0.212,84.95
1586.6,5,3,10.26,0.98,6.52,3,87,4,674.1,1.504,123.02
1518.2,1,2,38.52,15.74,1.8,3,13,7,482.7,-0.01,38.2
1239.4,1,3,19.34,10.26,5.39,1,32,8,537.9,0.296,66.16
2357.6,5,2,32.24,0.56,1.7,0,46,13,597.9,0.248,121.08
1753.6,3,1,22.01,9.84,4.67,1,23,6,329.3,-1.626,99.62
689.9,3,4,1.74,6.27,4.66,0,45,6,681.9,0.288,66.41
1574.6,3,2,25.33,0.68,1.59,3,17,3,760.2,-0.563,81.86
1235.3,5,3,38.06,4.9,4.14,0,85,3,674.8,-1.421,57.3
1841.0,1,4,24.06,5.3,2.0,3,66,13,313.2,-0.517,93.78
1183.0,5,4,32.77,1.45,8.27,2,6,2,204.5,-0.525,108.92
1454.1,5,3,35.37,23.31,9.53,2,18,16,606.3,1.03,82.6
1702.0,3,2,9.12,15.18,1.65,2,94,6,386.0,-1.064,100.84
1846.3,2,1,8.48,8.85,9.6,1,22,8,543.1,-0.79,113.26
1019.9,1,1,24.44,4.96,5.7,1,33,8,730.3,0.235,49.25
1366.2,3,2,16.44,4.25,3.7,3,30,6,401.5,-1.326,81.13
1310.0,2,4,33.59,8.42,1.69,2,81,14,443.4,-0.659,63.86
1238.7,2,4,36.0,6.31,5.51,1,32,3,541.5,-1.664,54.01
2206.2,4,4,14.14,0.51,8.15,2,42,10,305.4,0.92,143.73
1662.0,1,4,9.47,5.75,7.36,1,78,3,386.3,-0.301,107.61
995.6,2,2,31.22,13.14,1.45,0,10,12,503.7,-0.016,29.04
1867.1,3,4,10.99,4.92,1.66,0,36,17,454.9,0.916,94.97
2348.9,4,3,32.9,0.5,4.63,2,34,5,591.3,-0.722,134.61
1913.0,1,4,16.95,12.34,3.66,3,73,9,914.9,-0.312,104.26
892.3,5,1,26.7,1.8,3.09,1,28,7,514.9,-1.056,70.27
1306.3,3,4,3.82,2.39,3.53,1,11,4,373.7,-1.059,92.43
2006.8,2,2,24.95,1.44,8.23,0,78,13,712.7,-0.921,126.01
1216.9,2,1,18.07,3.21,9.36,0,39,13,261.7,-0.492,100.92
1677.5,3,2,23.46,11.31,4.65,3,47,10,291.7,-0.385,95.99
1809.9,2,2,6.72,5.86,9.15,3,19,18,410.7,0.289,122.43
1129.2,4,1,29.47,1.83,3.89,3,15,17,457.6,-0.891,75.21
1476.2,1,2,34.51,16.82,5.29,2,28,13,407.1,0.32,58.48
400.0,4,2,8.67,16.93,3.03,0,24,17,495.3,0.485,30.43
1090.2,2,4,3.83,16.36,6.76,2,72,4,541.2,-0.468,87.98
1399.0,5,3,0.95,2.18,9.81,0,9,1,660.3,-0.805,125.51
1000.9,1,2,25.68,4.8,6.43,0,47,1,513.7,0.085,72.34
2153.0,1,2,24.28,33.59,4.22,1,33,15,415.7,-0.203,76.32
927.9,3,2,21.87,11.83,6.83,0,62,13,652.2,0.22,59.4
1324.0,3,4,9.28,0.5,2.11,0,97,17,377.3,1.57,90.34
1552.3,5,3,15.64,0.54,9.0,2,19,8,255.1,0.069,115.38
2076.5,1,1,23.78,4.99,5.53,0,67,18,680.9,-0.639,114.57
925.7,5,4,19.87,19.19,5.04,2,74,13,671.3,-0.891,81.94
1965.3,3,4,39.51,6.19,6.27,3,40,14,381.2,-0.852,104.84
1504.1,3,3,5.46,5.51,6.62,0,47,8,440.1,-1.463,104.27
1107.4,1,3,27.81,0.89,1.65,0,65,8,362.5,0.933,54.26
1684.8,4,4,16.17,8.56,7.14,2,29,15,549.0,-2.233,109.89
1579.6,2,1,17.13,13.81,3.18,3,50,13,759.8,0.488,96.03
1259.9,3,4,28.7,3.83,7.43,1,98,7,605.4,-0.868,81.74
1527.9,3,3,27.7,11.96,8.4,3,13,5,655.4,-0.512,89.87
1345.9,4,1,39.65,26.7,8.24,2,1,17,623.0,-0.898,47.84
1545.4,4,3,5.14,1.82,5.97,3,34,16,500.0,1.446,124.01
1764.9,5,1,4.16,5.93,5.68,2,93,2,662.5,0.016,124.13
2134.4,5,2,28.97,2.71,2.29,2,48,18,611.8,0.79,109.51
1004.9,2,3,23.14,12.59,7.98,1,77,17,715.9,1.301,59.76
2353.2,2,3,10.97,6.89,3.44,0,48,7,431.1,0.163,143.11
719.2,1,4,3.18,8.05,5.47,2,49,13,239.3,-1.196,69.3
1439.3,5,3,3.43,12.79,3.56,2,64,18,656.8,-0.221,102.76
1735.3,3,3,35.77,4.03,2.2,1,61,14,552.5,-0.742,88.7
1612.4,5,2,7.67,19.73,6.67,2,29,18,455.6,-0.504,115.54
1250.9,3,3,12.93,6.09,1.49,0,39,13,464.0,-0.095,70.5
1416.8,4,2,9.07,1.38,7.74,1,88,11,883.2,-0.134,109.56
1302.8,5,2,14.2,9.52,3.86,0,26,16,403.7,0.412,85.28
1264.3,4,2,2.78,12.61,1.0,0,17,17,372.0,0.557,66.53
1839.8,2,2,20.76,3.05,5.6,1,71,8,512.8,-0.134,101.5
1642.8,2,1,2.7,15.57,1.42,2,13,19,677.1,0.403,97.86
1222.8,1,4,32.01,18.93,3.49,0,69,15,841.8,-0.549,54.99
1859.8,5,1,9.35,2.59,7.36,0,26,9,598.6,1.315,137.36
1622.9,4,3,21.6,32.85,1.56,0,49,10,309.4,-0.566,57.92
1825.1,3,1,35.2,1.21,8.55,0,67,12,795.6,1.197,101.99
1751.9,2,1,26.04,1.81,1.03,1,7,1,497.1,-1.476,74.2
1168.4,2,3,21.32,1.63,3.22,1,58,9,374.3,-0.38,83.34
1275.9,3,3,12.97,17.95,7.67,3,49,15,338.1,-0.331,95.33
1798.9,4,3,13.32,8.5,3.85,3,53,1,625.4,0.279,122.54
1744.1,4,1,26.78,1.32,1.92,0,65,12,535.8,0.862,108.14
1491.6,5,1,39.77,4.64,4.24,2,62,3,551.8,-1.249,85.09
1546.9,5,3,26.47,7.64,3.43,0,17,11,693.0,-1.108,103.37
2011.1,1,4,22.31,0.7,8.58,2,43,2,379.7,-1.402,126.14
1263.4,2,4,29.23,17.12,3.82,0,25,16,704.9,1.32,44.85
1718.8,5,2,18.61,13.02,8.1,3,3,9,422.1,0.298,119.67
1419.1,4,3,2.41,5.63,9.03,3,79,15,824.6,-1.084,107.18
1412.9,3,2,22.49,27.32,4.9,2,29,12,589.8,-0.443,65.76
1939.5,4,4,38.31,4.33,9.19,0,32,1,362.0,1.182,123.69
1830.2,2,2,7.01,33.14,4.4,2,26,13,196.2,-0.278,87.28
1825.4,4,3,27.6,8.82,9.68,3,16,14,621.3,-0.337,136.08
2022.2,1,3,8.04,8.06,1.8,0,25,8,443.9,-0.781,93.99
1508.4,2,3,21.43,1.45,7.18,0,54,8,476.7,-1.025,99.13
1772.8,3,1,3.87,17.09,5.44,2,28,12,614.9,1.183,106.13
1375.9,1,2,18.01,4.46,4.49,1,73,1,651.6,1.674,71.86
1629.7,2,4,30.25,1.42,6.69,2,56,11,683.6,-0.985,92.69
1447.9,3,4,13.9,0.5,7.33,3,65,8,323.8,1.405,107.26
1538.8,1,4,26.6,6.56,1.04,3,93,10,713.9,-0.487,70.35
1738.1,1,1,31.82,6.0,2.5,3,86,19,413.1,0.534,81.06
1172.7,2,1,37.09,10.17,7.42,3,80,11,161.6,1.41,58.34
2337.0,5,3,9.39,17.68,7.0,3,41,7,323.2,-0.145,144.75
1097.6,1,4,15.97,0.66,9.69,1,51,11,532.7,-0.328,98.32
1014.3,1,1,6.1,10.52,7.85,0,71,17,353.2,0.801,78.77
1963.2,3,3,39.7,1.66,9.56,2,78,1,486.8,-1.11,114.07
1816.7,4,4,37.08,15.63,7.32,2,29,8,550.7,1.147,99.48
1749.6,2,2,21.6,13.68,3.68,3,83,6,472.8,0.143,98.7
1751.3,2,3,33.68,6.23,1.95,2,19,18,425.8,-0.578,88.95
1495.1,5,1,20.84,9.91,8.04,3,66,6,312.4,-0.604,116.97
1141.1,5,1,24.94,3.02,6.8,1,41,5,503.3,-1.383,92.42
1530.3,2,3,3.56,5.1,1.43,1,45,13,190.3,-0.536,111.84
1229.1,5,3,30.21,13.79,4.24,0,15,19,397.1,-0.264,48.93
1890.0,3,1,5.11,4.92,9.61,1,3,8,360.8,-1.061,133.46
1441.2,2,2,33.04,3.54,5.5,1,11,9,464.1,-0.045,77.69
1169.8,5,4,31.28,5.45,4.89,0,53,17,468.0,0.473,77.25
1371.4,2,2,28.35,14.09,5.12,2,46,3,644.0,-0.213,63.29
1665.2,4,3,1.45,3.27,2.88,3,30,19,737.5,0.663,123.85
1274.5,1,2,12.13,1.53,4.32,3,57,11,332.3,-0.807,73.9
1171.1,2,1,10.52,9.96,4.33,2,18,17,798.9,1.003,78.67
1597.5,1,3,14.41,13.99,1.47,0,51,19,383.1,0.122,71.98
1598.0,5,4,3.51,0.85,7.91,2,48,2,525.9,1.545,131.14
1297.2,1,1,37.48,2.19,4.75,1,66,8,576.6,2.414,68.06
1311.6,2,1,22.15,1.22,8.4,0,96,19,866.7,-0.47,90.08
1592.8,4,4,12.22,3.42,8.65,0,8,7,418.7,-0.429,129.4
920.8,5,4,15.88,4.79,2.91,0,22,17,230.5,-0.246,67.38
937.0,2,2,17.89,11.05,6.92,3,6,6,723.6,0.596,67.14
1212.6,5,3,24.02,8.42,5.25,2,76,19,375.0,1.326,91.42
1414.6,3,4,20.63,7.76,8.92,0,57,6,445.8,-0.653,101.81
